system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_1_1_1_85_0,0.0438,0.1315,0.049,0.0357,0.0618,0.0299,0.0997,0.3706,0.436,0.4631,0.4587,0.4628,-0.51105726,0.78777957,0.4151944,0.76452655,-0.36057943,-0.45706373,0.0031636795,0.85685647,-0.8086311,-0.5729665,0.8787018,-0.76452655,0.64570004,0.6543807,-11.535936,-7.1485577,0.64187026,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44224478307869,-7.302929666058904]}"
1_1_1_1_1_114_0,0.0569,0.1661,0.0863,0.0504,0.0716,0.0448,0.1167,0.2908,0.3293,0.3323,0.3457,0.2768,-0.28942052,0.5876462,0.26600316,0.6454568,-0.39755994,-0.3161648,0.011634788,0.7366083,-0.5876732,-0.5344111,0.7623972,-0.6454568,0.48017818,0.49167714,-12.771483,-8.916596,0.47904158,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42158607658465,-7.305617287036432]}"
1_1_1_1_1_147_0,0.0466,0.0271,0.0147,0.0427,0.0548,0.0351,0.059,0.0946,0.1164,0.122,0.0991,0.0301,-0.45174083,0.21459968,0.08831777,0.3800905,0.33821732,-0.2966507,0.0042292625,0.4814815,-0.7849305,0.22349569,0.55315083,-0.3800905,0.3480663,0.19837163,-21.246044,-12.418835,0.17895292,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43293634190738,-7.284917687626603]}"
1_1_1_1_1_172_0,0.0382,0.0724,0.0318,0.0387,0.0607,0.0373,0.0899,0.1892,0.2231,0.2542,0.2324,0.2898,-0.4550422,0.4565355,0.21067958,0.6144808,-0.087903865,-0.38963532,0.0046661687,0.735746,-0.7776224,-0.30333036,0.74408233,-0.6144808,0.4774775,0.41105497,-13.100129,-6.352601,0.4076807,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44517693802437,-7.275977874390408]}"
1_1_1_1_1_65_0,0.0399,0.1157,0.0489,0.0338,0.0604,0.0322,0.1029,0.2828,0.3387,0.3408,0.3557,0.2665,-0.4338756,0.602499,0.29380208,0.69890326,-0.31402612,-0.40583232,0.004620247,0.81954086,-0.7490377,-0.5478261,0.82734585,-0.69890326,0.5361731,0.53024054,-16.628279,-7.3121495,0.5265264,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44696529827924,-7.295065943858224]}"
1_1_1_1_1_128_0,0.0455,0.1404,0.0601,0.0376,0.0672,0.0375,0.1109,0.324,0.3862,0.388,0.41,0.263,-0.4104391,0.6583396,0.332264,0.7047452,-0.3526012,-0.40049878,0.005808634,0.8233083,-0.7317563,-0.5775281,0.8237368,-0.7047452,0.55542195,0.5680713,-14.782451,-4.0392566,0.5678479,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43094428683165,-7.2841915534138595]}"
1_1_1_1_1_66_0,0.0413,0.0668,0.029,0.0382,0.059,0.035,0.0778,0.1508,0.1743,0.1932,0.1809,0.2013,-0.3889556,0.35416853,0.15256439,0.53211737,-0.062003165,-0.39457202,0.005253623,0.6698358,-0.7389739,-0.27238095,0.69325155,-0.53211737,0.42583027,0.32587203,-10.279077,-6.0456166,0.31788352,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44596756579067,-7.296059719750318]}"
1_1_1_1_1_73_0,0.0406,0.1298,0.0519,0.0374,0.0584,0.0325,0.1009,0.314,0.3705,0.3727,0.4004,0.399,-0.43291405,0.6607365,0.32295644,0.7290652,-0.37938365,-0.4287287,0.004525758,0.81760544,-0.75553465,-0.5526316,0.8395854,-0.7290652,0.573902,0.5637428,-12.904343,-8.190968,0.55263156,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44415271390004,-7.298499757747294]}"
1_1_1_1_1_35_0,0.0386,0.1457,0.0637,0.0332,0.0594,0.0347,0.105,0.2776,0.3275,0.3452,0.3579,0.3604,-0.35433072,0.5951012,0.29082853,0.7063767,-0.42077035,-0.39159504,0.006403215,0.82452434,-0.6884324,-0.6288429,0.81732035,-0.7063767,0.53354067,0.5293215,-13.635572,-7.411828,0.5327869,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44941878897593,-7.288918038434716]}"
1_1_1_1_1_25_0,0.0434,0.1494,0.0697,0.0394,0.059,0.0398,0.1032,0.2905,0.342,0.3199,0.3773,0.2778,-0.31011853,0.55434614,0.26067665,0.68857217,-0.43378118,-0.3637608,0.008671648,0.78068465,-0.64219713,-0.5826271,0.77870446,-0.68857217,0.51217204,0.488717,-11.537371,-8.281012,0.48964274,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44924346170912,-7.284123739046088]}"
1_1_1_1_1_205_0,0.0388,0.1148,0.0552,0.0342,0.0582,0.0359,0.0992,0.2514,0.2714,0.2911,0.3169,0.2674,-0.36680672,0.5104,0.2412173,0.66676205,-0.3271676,-0.35058823,0.006807558,0.7897325,-0.6812013,-0.54093957,0.7804281,-0.66676205,0.49167305,0.46287787,-13.858347,-9.224486,0.46692112,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45041517452202,-7.289009704778993]}"
1_1_1_1_1_184_0,0.0381,0.1245,0.0566,0.0331,0.0567,0.0327,0.1007,0.2553,0.2917,0.3244,0.3198,0.2998,-0.38915876,0.57315207,0.27543116,0.7024403,-0.37417218,-0.37493098,0.0057053636,0.8148252,-0.7028871,-0.5799492,0.81685805,-0.7024403,0.52622914,0.51050055,-13.713333,-7.9613366,0.5095627,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44988442352727,-7.2785163407983795]}"
