system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_1_1_1_19_0,0.0465,0.1266,0.0522,0.0453,0.065,0.033,0.0985,0.3257,0.4076,0.3932,0.4338,0.2707,-0.46631,0.71956533,0.34361216,0.7162811,-0.32150313,-0.41610736,0.0043809763,0.7933866,-0.76560396,-0.4729494,0.84514314,-0.7162811,0.5993492,0.5833513,-13.929481,-7.1805844,0.5560469,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4416521708724,-7.269370373456579]}"
1_1_1_1_1_28_0,0.0445,0.1428,0.0588,0.0465,0.0648,0.0374,0.0988,0.2951,0.3645,0.378,0.408,0.399,-0.40400198,0.6792167,0.32192096,0.70731705,-0.37572253,-0.41666666,0.005817778,0.7809187,-0.7307692,-0.50871634,0.8199326,-0.70731705,0.58557045,0.5581167,-12.116654,-5.738763,0.5378583,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44897235582289,-7.283580682285972]}"
1_1_1_1_1_164_0,0.0442,0.1058,0.0489,0.045,0.0616,0.0364,0.0929,0.2391,0.2742,0.2944,0.298,0.2445,-0.40946844,0.54879606,0.2457009,0.6539326,-0.26403823,-0.36780867,0.00604606,0.73482615,-0.715118,-0.403183,0.77992743,-0.6539326,0.52026856,0.46581608,-13.7935705,-6.747148,0.4456755,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44097636568593,-7.303018551327557]}"
1_1_1_1_1_8_0,0.0422,0.1319,0.0539,0.0424,0.0626,0.0346,0.0956,0.3067,0.3733,0.3788,0.4052,0.3644,-0.4333844,0.67841375,0.32695645,0.71635705,-0.35629818,-0.41980624,0.004923284,0.7986705,-0.75086665,-0.5134825,0.8326076,-0.71635705,0.5969646,0.5652507,-14.2668705,-7.3691664,0.54776376,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44191901635585,-7.273350695638974]}"
1_1_1_1_1_87_0,0.0462,0.0766,0.0367,0.0464,0.0631,0.0379,0.0818,0.1965,0.2419,0.2812,0.2365,0.1421,-0.48201764,0.52408236,0.23644155,0.63345915,-0.096635625,-0.35216242,0.0049464083,0.71672773,-0.7691098,-0.24552846,0.7624569,-0.63345915,0.5493113,0.44555,-18.323545,-7.910891,0.4255679,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42624330301358,-7.276587471038651]}"
1_1_1_1_1_196_0,0.048,0.0556,0.0268,0.0479,0.0656,0.0382,0.0779,0.1601,0.1533,0.2658,0.1578,0.0608,-0.5396319,0.5009905,0.22451636,0.6041038,0.082508266,-0.34951457,0.0038516175,0.6946127,-0.8168148,-0.07439613,0.7486842,-0.6041038,0.5466977,0.42462686,-16.953876,-8.840401,0.40168366,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43866068388871,-7.271085312910026]}"
1_1_1_1_1_18_0,0.046,0.1149,0.0475,0.0445,0.0669,0.0375,0.1001,0.2697,0.3306,0.3575,0.3519,0.3324,-0.45021644,0.6406406,0.30628312,0.68473136,-0.2640264,-0.41502464,0.004982518,0.77860695,-0.7654321,-0.4416562,0.81012654,-0.68473136,0.5625,0.5363128,-15.425829,-5.372069,0.52050996,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44119856770878,-7.269912541087905]}"
1_1_1_1_1_171_0,0.0471,0.1201,0.0511,0.0486,0.0672,0.0381,0.0952,0.2562,0.3294,0.3271,0.3402,0.3306,-0.40737966,0.60653126,0.27446792,0.6591428,-0.2824346,-0.40303737,0.005952033,0.74128294,-0.7297726,-0.4238293,0.7913472,-0.6591428,0.5491357,0.5010402,-14.419502,-2.778151,0.47704694,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43181925976452,-7.308705727504142]}"
1_1_1_1_1_6_0,0.0416,0.0933,0.0474,0.0444,0.0591,0.0379,0.0856,0.1943,0.2277,0.2461,0.2506,0.2121,-0.37775669,0.45637876,0.19838198,0.612713,-0.22440946,-0.326226,0.007299716,0.69432014,-0.6770017,-0.35511982,0.73309857,-0.612713,0.48387095,0.39834183,-15.8305855,-11.1515875,0.38273245,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44382090420578,-7.273714851299691]}"
1_1_1_1_1_17_0,0.0423,0.11,0.0551,0.0412,0.0594,0.0378,0.0853,0.1923,0.218,0.2475,0.2381,0.1862,-0.32279497,0.44988415,0.19690467,0.61290324,-0.2987013,-0.33252573,0.008415272,0.7145826,-0.6358229,-0.45502645,0.7350158,-0.61290324,0.48737982,0.40054756,-12.071803,-8.334316,0.39235452,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44463774699865,-7.272449490933434]}"
1_1_1_1_1_114_0,0.0412,0.1011,0.0463,0.0448,0.0602,0.0358,0.0886,0.2218,0.2829,0.2899,0.2903,0.3006,-0.41942325,0.5435527,0.2425275,0.65609825,-0.25356477,-0.37177745,0.005717627,0.7322976,-0.7245687,-0.38588074,0.7801658,-0.65609825,0.5318362,0.46160835,-12.524541,-7.106625,0.44045767,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43698664322048,-7.305908127168558]}"
1_1_1_1_1_86_0,0.0461,0.0796,0.0386,0.0485,0.0681,0.0378,0.0877,0.2136,0.2311,0.3341,0.244,0.0973,-0.53040004,0.61876124,0.28889218,0.6613625,-0.077860534,-0.34686968,0.0043671955,0.7464715,-0.7928629,-0.24277906,0.79671955,-0.6613625,0.5841631,0.5097488,-18.201345,-7.844176,0.4853841,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42624261357751,-7.277130195018263]}"
1_1_1_1_1_74_0,0.0464,0.1306,0.0537,0.0491,0.0638,0.038,0.0976,0.3032,0.3759,0.382,0.4111,0.4073,-0.43771884,0.692571,0.3275894,0.713773,-0.34362143,-0.4172545,0.0053418847,0.7722106,-0.7535001,-0.45353368,0.81904763,-0.713773,0.59299415,0.5608696,-14.977741,-4.674199,0.53630114,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43109381934106,-7.3092475376678925]}"
1_1_1_1_1_12_0,0.0384,0.1294,0.0544,0.0424,0.0564,0.0319,0.091,0.2898,0.3598,0.3632,0.3934,0.3906,-0.4309402,0.6697801,0.31402102,0.73117256,-0.39289558,-0.40805224,0.0047779735,0.79092705,-0.7394636,-0.5064028,0.8385219,-0.73117256,0.5992955,0.5551894,-12.492304,-5.106145,0.53136045,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44553973356376,-7.275616500781922]}"
1_1_1_1_1_177_0,0.0439,0.0534,0.0288,0.043,0.0594,0.0363,0.0586,0.1072,0.149,0.223,0.1415,0.0663,-0.49564242,0.4173746,0.18366954,0.57932013,0.053191498,-0.29927006,0.0046880716,0.6766917,-0.771247,-0.10788379,0.7200154,-0.57932013,0.5838068,0.36882657,-18.675755,-10.601159,0.3524804,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41896984281267,-7.297111256316171]}"
1_1_1_1_1_198_0,0.0452,0.0396,0.0205,0.0436,0.0561,0.0356,0.074,0.1427,0.1685,0.1686,0.1602,0.1008,-0.47668755,0.31510612,0.13229111,0.5006676,0.1724138,-0.31780365,0.0043285885,0.5890669,-0.7831835,0.04807693,0.65132225,-0.5006676,0.3899423,0.2833002,-23.483767,-11.781853,0.26326874,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4383012587553,-7.268733054539446]}"
1_1_1_1_1_99_0,0.0419,0.1286,0.0558,0.0469,0.0622,0.037,0.0903,0.2659,0.3296,0.3155,0.3651,0.378,-0.37272725,0.5871811,0.26226658,0.6706381,-0.3480084,-0.39479396,0.0065438985,0.74117,-0.6994344,-0.46552706,0.7900709,-0.6706381,0.55495316,0.4900293,-12.011255,-2.1655872,0.4671846,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44725824515253,-7.2777895076433134]}"
1_1_1_1_1_42_0,0.043,0.1342,0.057,0.0439,0.068,0.0357,0.1019,0.3013,0.3643,0.3631,0.3959,0.3985,-0.41098976,0.65582305,0.30994377,0.68452793,-0.32739863,-0.4037657,0.0056042415,0.7842752,-0.728636,-0.5070185,0.8209629,-0.68452793,0.56172043,0.5463952,-11.095469,-4.324211,0.52789414,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44660070895983,-7.296874585013961]}"
1_1_1_1_1_83_0,0.0414,0.0728,0.0321,0.0435,0.0623,0.036,0.0762,0.1872,0.2202,0.2745,0.2575,0.0668,-0.49015933,0.5121323,0.2319783,0.6300475,-0.077720225,-0.3879886,0.0042098355,0.7264151,-0.7906067,-0.25193468,0.76811594,-0.6300475,0.56544054,0.4413942,-16.225702,-11.821401,0.42359415,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42287918504692,-7.286261783511894]}"
1_1_1_1_1_154_0,0.0446,0.1095,0.0477,0.0464,0.0662,0.038,0.0954,0.2557,0.3011,0.328,0.3407,0.2838,-0.43475762,0.6001656,0.27732873,0.66412985,-0.24644276,-0.39312977,0.005526219,0.75213677,-0.746074,-0.40474662,0.79234976,-0.66412985,0.5493623,0.5023095,-17.610981,-3.5955267,0.48307413,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44679765517478,-7.284030301496979]}"
1_1_1_1_1_110_0,0.0464,0.1314,0.0543,0.0478,0.067,0.0371,0.0992,0.3044,0.3755,0.3765,0.4098,0.4073,-0.43151146,0.6839433,0.3226881,0.697858,-0.32459676,-0.4151858,0.005350677,0.7746877,-0.74791086,-0.46651787,0.8205996,-0.697858,0.58293045,0.5572461,-9.932625,-5.220176,0.5334307,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.430821921872,-7.30933764871627]}"
