system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_1_1_1_63_0,0.0422,0.1187,0.0528,0.0381,0.0592,0.0313,0.0992,0.2917,0.3342,0.3384,0.3553,0.3251,-0.43019944,0.6189286,0.29161093,0.7022133,-0.33445755,-0.38425654,0.004883688,0.79760957,-0.73006135,-0.5140306,0.8306735,-0.7022133,0.5466179,0.5296654,-11.151608,-11.20671,0.513919,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43553441905946,-7.308077212834922]}"
1_1_1_1_1_185_0,0.043,0.1355,0.0531,0.0363,0.0612,0.03,0.1018,0.338,0.4007,0.4089,0.4306,0.3963,-0.45799902,0.7194395,0.36020324,0.73962986,-0.37773257,-0.43690348,0.003895818,0.83692724,-0.77012986,-0.5774156,0.8632946,-0.73962986,0.6013315,0.605336,-15.171541,-2.0009928,0.5913034,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41598582892098,-7.2928560748202536]}"
1_1_1_1_1_176_0,0.0413,0.1281,0.0491,0.0367,0.0624,0.0308,0.098,0.3225,0.372,0.3764,0.3962,0.3905,-0.44440562,0.6718768,0.32835644,0.715588,-0.34488186,-0.4458239,0.004017747,0.82231903,-0.76921266,-0.5546116,0.848723,-0.715588,0.58684653,0.57142854,-12.900148,-5.5143247,0.558044,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41716280730704,-7.293400317558325]}"
1_1_1_1_1_78_0,0.04,0.106,0.0463,0.0346,0.056,0.0314,0.0934,0.2714,0.3037,0.3009,0.322,0.2833,-0.41890466,0.54785335,0.25627935,0.6861866,-0.30864197,-0.39198947,0.0048315716,0.7937407,-0.7332949,-0.5078236,0.8110142,-0.6861866,0.52624905,0.48570228,-12.985691,-7.8307858,0.47809696,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41571933241929,-7.288785303875369]}"
1_1_1_1_1_16_0,0.0366,0.086,0.0369,0.0327,0.0501,0.0278,0.0755,0.2062,0.2445,0.2555,0.256,0.2128,-0.43383083,0.48362428,0.21738575,0.6721204,-0.26377666,-0.3995118,0.004014951,0.77307427,-0.74760604,-0.4490312,0.80374163,-0.6721204,0.5438066,0.4360398,-11.630035,-9.867325,0.42400405,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44644915772254,-7.272723070123455]}"
1_1_1_1_1_161_0,0.0394,0.1174,0.0476,0.0353,0.0594,0.0314,0.0962,0.305,0.3477,0.3749,0.3719,0.4008,-0.46762076,0.66131455,0.32825905,0.7264564,-0.32805428,-0.4230303,0.00398677,0.82788885,-0.77467453,-0.53765553,0.8454344,-0.7264564,0.59159416,0.56852037,-14.197084,-8.150953,0.5596572,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43906747950992,-7.308172074108357]}"
1_1_1_1_1_124_0,0.0336,0.1297,0.0497,0.0308,0.0535,0.0265,0.0922,0.3498,0.4189,0.4298,0.4607,0.4427,-0.4935149,0.7425615,0.38501084,0.7786054,-0.41593888,-0.4459309,0.003064332,0.8662614,-0.7927007,-0.6161994,0.88384837,-0.7786054,0.6467433,0.6325944,-15.876633,-4.190806,0.6230481,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45078766720464,-7.280688345059952]}"
1_1_1_1_1_172_0,0.0393,0.1207,0.0506,0.0356,0.0575,0.0312,0.0954,0.3257,0.3674,0.3628,0.3958,0.4102,-0.4479375,0.6461419,0.31573877,0.7263859,-0.35465768,-0.4092236,0.0043514883,0.8212851,-0.7552008,-0.5444658,0.8416244,-0.7263859,0.58358794,0.55637586,-13.358719,-7.04451,0.5463045,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44442103073666,-7.301304171987027]}"
1_1_1_1_1_197_0,0.042,0.128,0.0576,0.0392,0.06,0.0451,0.0993,0.2425,0.259,0.2494,0.3019,0.2355,-0.25016242,0.4165987,0.18960842,0.6121526,-0.36170214,-0.37931037,0.010416038,0.7283437,-0.62475574,-0.5311005,0.6937182,-0.6121526,0.43045598,0.3857143,-10.941046,-3.2680008,0.39982247,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44898560054256,-7.272726160757613]}"
1_1_1_1_1_73_0,0.0432,0.085,0.0379,0.0402,0.0603,0.0323,0.0831,0.2316,0.2508,0.3026,0.2527,0.2565,-0.49011084,0.5655285,0.2609605,0.66767704,-0.16999312,-0.3832384,0.0040455055,0.7654609,-0.7773862,-0.35782748,0.8071066,-0.66767704,0.56909513,0.48562703,-12.590742,-6.967099,0.4670147,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41978260412695,-7.29910228797736]}"
